,x_val,y_val,data_channel
484270,241,891,135.0
1308503,649,771,98.0
33990,13,1490,255.0
2029381,944,1598,255.0
813879,415,161,255.0
940124,477,1816,122.0
224655,89,2155,255.0
365173,177,1312,92.0
836750,426,1522,96.0
807937,412,171,255.0
374740,182,2359,255.0
1157452,581,114,255.0
855002,435,2037,255.0
1644178,788,2384,255.0
1112126,559,2145,255.0
842669,429,1380,115.0
406337,199,2223,255.0
1469748,717,1027,92.0
489756,244,663,103.0
1727063,822,1053,216.0
951590,483,754,132.0
953953,484,1170,107.0
709742,362,299,255.0
1117710,562,1164,115.0
244416,97,1916,255.0
1812845,856,2197,255.0
416877,205,442,101.0
1344763,664,2048,255.0
1051550,531,955,149.0
542692,272,2180,255.0
1266186,630,1614,103.0
1428525,700,385,127.0
1273048,633,1730,105.0
1056334,533,1692,113.0
2156647,995,1364,255.0
568163,286,815,94.0
1737019,826,1056,195.0
1244842,621,212,255.0
1338970,662,815,100.0
89932,35,2432,255.0
1604081,772,1717,162.0
434474,214,1600,86.0
1452782,710,822,141.0
1711044,815,2436,255.0
1319186,653,2411,255.0
1477724,720,1861,142.0
1368275,674,1776,147.0
247313,98,2313,255.0
1486013,724,418,137.0
349052,168,1119,105.0
1140199,572,2393,255.0
988215,501,231,255.0
1598594,770,1125,154.0
1015283,514,234,255.0
1046660,529,100,255.0
1727044,822,1034,208.0
1876254,882,781,186.0
924068,469,2158,255.0
1156450,580,1483,101.0
1504443,731,1847,192.0
320228,142,230,255.0
1842719,868,2155,255.0
600995,303,2120,255.0
1124512,565,1643,94.0
1086771,547,2399,255.0
1537029,745,455,152.0
1766689,838,870,194.0
1697311,810,1105,181.0
440227,217,1903,255.0
1366872,674,293,255.0
1713702,817,106,255.0
31371,12,1371,255.0
515372,258,199,255.0
2160574,997,291,255.0
2160,0,2160,255.0
770859,393,1141,105.0
1953459,914,597,255.0
271484,108,1484,255.0
277415,110,2415,255.0
768390,392,479,95.0
1255047,625,1817,157.0
563840,284,20,255.0
1373235,676,1987,181.0
1449667,709,32,255.0
1973329,922,477,255.0
679227,345,2392,255.0
251791,100,1791,255.0
14141,5,1641,255.0
2130451,985,168,255.0
473260,235,1248,105.0
1838935,867,861,179.0
959549,487,337,160.0
905600,460,2129,255.0
451540,223,2065,255.0
1037293,524,1520,87.0
118100,47,600,255.0
244924,97,2424,255.0
2109582,976,1799,255.0
1692846,808,1598,145.0
1326571,657,163,255.0
1470056,717,1347,129.0
1174736,589,306,255.0
1677510,802,1137,192.0
736408,375,2468,255.0
189901,75,2401,255.0
1165311,584,1957,255.0
1065123,537,2109,255.0
91386,36,1386,255.0
1283879,638,1132,144.0
563219,283,1897,255.0
1367695,674,1156,137.0
1599145,770,1693,131.0
2163891,998,1108,255.0
1390742,684,421,115.0
1957219,915,1857,255.0
1823904,861,794,194.0
1783427,845,175,255.0
729055,372,350,123.0
1383800,681,538,131.0
531385,266,1984,156.0
483680,241,51,255.0
2017454,939,2171,255.0
658137,334,1891,255.0
1397340,686,2464,255.0
1844479,869,1417,216.0
578894,292,15,255.0
1296974,644,581,118.0
1674088,801,172,255.0
1385534,681,2410,255.0
105918,42,918,255.0
1917743,899,1663,255.0
1988891,928,1099,202.0
1710584,815,1975,121.0
1969075,920,1222,255.0
915858,465,2113,255.0
1321422,654,2267,255.0
895139,455,1830,131.0
1216945,608,1128,109.0
1866973,878,1472,193.0
1546457,749,146,255.0
484869,241,1842,123.0
1795172,849,1964,104.0
713192,363,2425,255.0
1729693,823,1197,197.0
1970683,921,330,255.0
1178141,590,1931,255.0
780838,398,1194,122.0
665446,338,1680,110.0
162382,64,2382,255.0
1047350,529,975,137.0
676138,344,835,100.0
672996,342,1765,127.0
1256256,626,585,123.0
100908,40,908,255.0
2150480,993,197,255.0
550834,277,315,116.0
1098787,553,1548,112.0
239048,95,1548,255.0
1815153,857,2014,255.0
1018703,515,1972,220.0
834703,425,1447,118.0
1918182,899,2102,255.0
1320778,654,1589,107.0
1884049,885,1105,219.0
113969,45,1469,255.0
1199397,600,1283,149.0
1671700,800,249,255.0
809256,412,1991,209.0
420247,206,2468,255.0
64335,25,1835,255.0
626867,317,2051,255.0
960946,487,2172,255.0
1803588,853,409,189.0
1362256,672,501,176.0
1513871,735,1519,104.0
2018240,940,457,255.0
5908,2,908,255.0
1362281,672,526,194.0
9654,3,2154,255.0
