,x_val,y_val,data_channel
334769,487,483,168.0
3580,23,431,147.0
106835,173,378,166.0
14612,41,141,98.0
269352,396,158,129.0
173944,265,279,210.0
155134,239,512,196.0
343032,498,712,182.0
63620,113,97,121.0
195708,295,69,189.0
141696,221,257,212.0
357594,518,643,188.0
119189,190,399,149.0
165371,253,495,220.0
339018,493,350,219.0
52373,96,721,209.0
289185,424,249,139.0
282487,414,618,174.0
308390,451,227,145.0
315173,460,519,161.0
68711,120,262,166.0
1449,18,645,135.0
243911,361,6,167.0
342039,497,446,181.0
341718,497,125,185.0
231530,344,52,179.0
23591,54,388,110.0
172063,262,595,214.0
183589,278,401,220.0
247846,366,293,195.0
317624,464,77,156.0
321436,469,278,160.0
161188,247,706,220.0
277058,407,97,118.0
159498,245,482,197.0
99796,163,581,168.0
211840,317,101,163.0
269086,395,615,183.0
32643,67,644,137.0
52732,97,375,132.0
158572,244,289,216.0
49851,93,227,138.0
314933,460,277,170.0
368761,534,89,218.0
115440,185,285,201.0
333686,486,127,206.0
153541,237,384,188.0
305969,447,673,156.0
275307,404,475,142.0
307886,450,445,127.0
313499,458,296,178.0
74401,128,271,190.0
294728,432,91,156.0
106052,172,321,157.0
35367,71,687,119.0
62447,111,344,131.0
42849,83,26,138.0
39815,78,402,150.0
88609,148,190,152.0
80830,137,294,176.0
81997,139,21,166.0
55211,101,84,129.0
203837,306,146,187.0
219989,328,214,199.0
135716,213,131,213.0
82700,140,10,129.0
325114,474,316,181.0
264629,389,436,166.0
321398,469,240,180.0
279834,411,56,158.0
27386,60,83,166.0
331276,482,642,195.0
1769,19,505,94.0
32025,66,706,157.0
123621,196,453,206.0
108012,175,108,200.0
105129,171,121,135.0
357995,519,311,216.0
113207,182,237,168.0
